Category;Id;Name;LevelName;Code;Area;Length
Walls;1666711;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;0.4432500000000002;1.4775000000000005
Floors;1666901;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;19.571835000016264;0
Floors;1666959;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.51239999999981356;0
Floors;1667004;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.51239999999981356;0
Floors;1667040;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.51239999999981356;0
Floors;1667182;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;1.6912350000020122;0
Floors;1667209;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;1.6912350000020067;0
Floors;1667236;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;35.087400000025468;0
Floors;1667337;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;2.031585000000975;0
Floors;1667360;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;8.1692999999662934;0
Floors;1667732;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;10.052399999671014;0
Walls;1667798;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;2.188320000001839;5.8200000000032777
Walls;1667799;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.28199999998927816;0.74999999997127653
Walls;1667800;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;4.8428800000027241;12.880000000003674
Walls;1667801;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.28199999998927816;0.74999999997127653
Walls;1667802;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.68432000000005389;1.8199999999996384
Walls;1667803;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.16919999998954777;0.44999999997207668
Walls;1667804;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.41736000000035967;1.1100000000006487
Walls;1667805;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.16919999998954774;0.44999999997207668
Walls;1667806;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;1.3987200000001156;3.7199999999992759
Walls;1667807;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.27447999998597655;0.7299999999625012
Walls;1667808;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.15416000000035623;0.41000000000083375
Walls;1667809;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;0.27447999998597655;0.7299999999625012
Floors;1667905;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;7.6775000000042386;0
Walls;1667968;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;2.5979000000186154;4.0700000000014569
Walls;1667969;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;1.057940000007443;1.7700000000003726
Walls;1667970;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;2.5979000000186154;4.0700000000014569
Walls;1667971;.TCM - A3.1 - MANTA ASFÁLTICA 4 mm, TIPO III-B, PP, ADERIDA COM MAÇARICO +  PROTEÇÃO MECÂNICA + PINTURA HERBICIDA + GEOCOMPOSTO DRENANTE;PILOTIS;A3.1;1.0579400000074428;1.7700000000003726
Floors;1668178;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;7.6775000000042395;0
Walls;1668281;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;1.2382500000004373;4.127500000001457
Walls;1668282;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;0.54825000000011204;1.8275000000003729
Walls;1668283;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;1.2382500000004373;4.127500000001457
Walls;1668284;.TCM - C4 - ARGAMASSA POLIMÉRICA FLEXÍVEL 3,5 KG/M² ESTRUTURADA COM TELA DE POLIÉSTER RESINADA 2X2 mm NOS CANTOS E RALOS;PILOTIS;C4;0.54825000000011193;1.8275000000003729
Walls;1668334;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;3.6918500772111535;3.7780000000032024
Walls;1668335;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;9.7801695297244944;9.5629999999989632
Walls;1668336;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.77193727217491825;2.6550000000033838
Walls;1668337;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.029032500000031863;0.070000000000161683
Walls;1668338;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.20658499999996394;1.1229999999998184
Walls;1668339;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;12.751883392095472;9.0729999999991815
Walls;1668340;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.13647624999997876;1.1999999999998183
Walls;1668344;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.23230000000791737;1.1999999999998183
Walls;1668352;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.84256696410818166;2.5780000000033838
Walls;1668356;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.47940111577796346;0.55999999999994421
Walls;1668360;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.31289999983118905;0.55999999999994632
Walls;1668364;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.10499999999997288;0.34999999999990961
Walls;1668368;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.10499999999997288;0.34999999999990961
Walls;1668372;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.10499999999997288;0.34999999999990961
Walls;1668376;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;1.5115500000000004;5.0000000000000018
Walls;1668384;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.81248839020128893;3.7780000000032024
Walls;1668580;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;0.16799999999998344;0.55999999999994532
Walls;1668728;.TCM - A4.4 - MANTA ASFÁLTICA DUPLA 3 + 4 mm, TIPO III-B, PP, ADERIDA COM ASFALTO OXIDADO 4,0 KG/M² + FILME DE POLIETILENO + PROTEÇÃO MECÂNICA + ARGAMASSA POLIMÉRICA RÍGIDA 2,0 KG/M²;PILOTIS;A6;1.5115500000000011;5.0000000000000027
